tauimval,taureval,revalues,imvalues
10.0,2.9,-5.76101,-0.094581
0.0,3.0,-5.660880000000001,0.0
0.0,3.1,-5.55789,0.0
0.0,3.2,-5.4533,0.0
0.0,3.3,-5.34807,0.0
0.0,3.4,-5.24295,0.0
0.0,3.5,-5.13852,0.0
0.0,3.6,-5.03521,0.0
0.0,3.7,-4.9333800000000005,0.0
0.0,3.8,-4.83326,0.0
0.0,3.9,-4.735040000000001,0.0
0.0,4.0,-4.63887,0.0
0.0,4.1,-4.54482,0.0
0.0,4.2,-4.45296,0.0
0.0,4.3,-4.36332,0.0
0.0,4.4,-4.27591,0.0
0.0,4.5,-4.19072,0.0
0.0,4.6,-4.10774,0.0
0.0,4.7,-4.02694,0.0
0.0,4.8,-3.9482800000000005,0.0
0.0,4.9,-3.87172,0.0
0.0,5.0,-3.7972099999999998,0.0
0.0,5.1,-3.72471,0.0
0.0,5.2,-3.6541699999999997,0.0
0.0,5.3,-3.58552,0.0
0.0,5.4,-3.51873,0.0
0.0,5.5,-3.4537199999999997,0.0
0.0,5.6,-3.39046,0.0
0.0,5.7,-3.3288900000000003,0.0
0.0,5.8,-3.26895,0.0
0.0,5.9,-3.2105900000000003,0.0
0.0,6.0,-3.15377,0.0
0.0,6.1,-3.09843,0.0
0.0,6.2,-3.04453,0.0
0.0,6.3,-2.99202,0.0
0.0,6.4,-2.94086,0.0
0.0,6.5,-2.891,0.0
0.0,6.6,-2.8424,0.0
0.0,6.7,-2.79502,0.0
0.0,6.8,-2.7488200000000003,0.0
0.0,6.9,-2.70376,0.0
0.0,7.0,-2.65981,0.0
0.0,7.1,-2.61693,0.0
0.0,7.2,-2.57508,0.0
0.0,7.3,-2.53424,0.0
0.0,7.4,-2.49436,0.0
0.0,7.5,-2.45543,0.0
0.0,7.6,-2.41741,0.0
0.0,7.7,-2.38027,0.0
0.0,7.8,-2.3439900000000002,0.0
0.0,7.9,-2.3085299999999997,0.0
0.0,8.0,-2.27388,0.0
0.0,8.1,-2.24001,0.0
0.0,8.2,-2.20689,0.0
0.0,8.3,-2.1745099999999997,0.0
0.0,8.4,-2.14284,0.0
0.0,8.5,-2.11185,0.0
0.0,8.6,-2.08154,0.0
0.0,8.7,-2.05188,0.0
0.0,8.8,-2.02284,0.0
0.0,8.9,-1.99442,0.0
0.0,9.0,-1.9666,0.0
0.0,9.1,-1.93935,0.0
0.0,9.2,-1.9126599999999998,0.0
0.0,9.3,-1.88652,0.0
0.0,9.4,-1.8609099999999998,0.0
0.0,9.5,-1.83582,0.0
0.0,9.6,-1.81123,0.0
0.0,9.7,-1.7871299999999999,0.0
0.0,9.8,-1.7635,0.0
0.0,9.9,-1.74033,0.0
0.0,10.0,-1.7176099999999999,0.0
0.0,10.1,-1.69533,0.0
0.0,10.2,-1.6734799999999999,0.0
0.0,10.3,-1.6520400000000002,0.0
0.0,10.4,-1.63101,0.0
0.0,10.5,-1.61037,0.0
0.0,10.6,-1.5901100000000001,0.0
0.0,10.7,-1.57023,0.0
0.0,10.8,-1.55071,0.0
0.0,10.9,-1.53154,0.0
0.0,11.0,-1.51272,0.0
0.0,11.1,-1.49424,0.0
0.0,11.2,-1.47609,0.0
0.0,11.3,-1.4582600000000001,0.0
0.0,11.4,-1.44075,0.0
0.0,11.5,-1.42354,0.0
0.0,11.6,-1.4066299999999998,0.0
0.0,11.7,-1.39,0.0
0.0,11.8,-1.3736700000000002,0.0
0.0,11.9,-1.35761,0.0
0.0,12.0,-1.34182,0.0
0.0,12.1,-1.3263,0.0
0.0,12.2,-1.31104,0.0
0.0,12.3,-1.29603,0.0
0.0,12.4,-1.28126,0.0
0.0,12.5,-1.26674,0.0
0.0,12.6,-1.2524600000000001,0.0
0.0,12.7,-1.2384,0.0
0.0,12.8,-1.2245700000000002,0.0
0.0,12.9,-1.21096,0.0
0.0,13.0,-1.19757,0.0
0.0,13.1,-1.18439,0.0
0.0,13.2,-1.17141,0.0
0.0,13.3,-1.15864,0.0
0.0,13.4,-1.14606,0.0
0.0,13.5,-1.13368,0.0
0.0,13.6,-1.1214899999999999,0.0
0.0,13.7,-1.10948,0.0
0.0,13.8,-1.09766,0.0
0.0,13.9,-1.0860100000000001,0.0
0.0,14.0,-1.07454,0.0
0.0,14.1,-1.06323,0.0
0.0,14.2,-1.0521,0.0
0.0,14.3,-1.04112,0.0
0.0,14.4,-1.03031,0.0
0.0,14.5,-1.01966,0.0
0.0,14.6,-1.00916,0.0
0.0,14.7,-0.998807,0.0
0.0,14.8,-0.988605,0.0
0.0,14.9,-0.978548,0.0
0.0,15.0,-0.968633,0.0
0.0,15.1,-0.958858,0.0
0.0,15.2,-0.949219,0.0
0.0,15.3,-0.9397139999999999,0.0
0.0,15.4,-0.930341,0.0
