Squark,tanb,MA,diagrams,who,ReFinAvg,ReFinErr,ReDivAvg,ReDivErr,ImFinAvg,ImFinErr,ImDivAvg,ImDivErr,msq1,msq2,Aq,lam,eps,TIME,alphaqs,mu
sbot,40,1400,SUM,KIT,-10.22995663662598,0.04093990094103702,7.703675691816958e-05,0.00010164562686560636,0.15465599302414001,0.03554580820398301,-6.128301801200186e-05,9.834205494705368e-05,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,17995.518249,,
stop,40,1600,SUM,KIT,-10.8758886501771,0.0508073263031479,3.208488203809701e-05,0.00013256854666337614,0.5331040308174001,0.04025988937294248,0.0012185929303323295,0.0008711268522541183,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,13637.112185,0.081393305763,1000.0
sbot,40,1600,SUM,KIT,-10.278180139590418,0.04245930410210135,0.00010774635296395552,0.00010094029355766707,0.1281620696885304,0.03780197237356071,9.286055717596256e-06,9.3143898132973e-05,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,18009.4972072,,
stop,40,1800,SUM,KIT,-11.056235343348401,0.05208481941790228,-0.00027809808973267014,0.00016124120480873804,0.4770913875659997,0.04233648003218897,0.0008789129681730824,0.0008097881794293548,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,13723.598375100002,0.081393305763,1000.0
sbot,40,1800,SUM,KIT,-10.331474900947027,0.04672611448859602,-0.00010152677056307624,0.00010062915030305516,0.1488554485771999,0.043094253472276786,6.034772527656365e-05,8.893406873630952e-05,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,17663.957536,,
stop,40,2000,SUM,KIT,-11.4740255574353,0.05586261153914096,-0.00019331690229285048,0.0002005197234466396,0.7609733778218998,0.04586688628605217,-0.00044811173186723447,0.0007567744544174207,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,15337.4476731,0.081393305763,1000.0
sbot,40,2000,SUM,KIT,-10.457232122684179,0.05177845686398284,-0.0001429077788474009,0.00010058604785153388,0.22408348150870014,0.05111296006809458,7.89309704490265e-06,8.555099806069909e-05,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,17580.507551,,
stop,40,2200,SUM,KIT,-11.927096136194502,0.056828480660319036,-4.2389286613042636e-05,0.00020491272862524856,0.9918612413021,0.047871539691354666,-0.00011866838737359388,0.0007116581545153041,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,16745.755949000002,0.081393305763,1000.0
sbot,40,2200,SUM,KIT,-10.679215684762998,0.05575360747528739,-4.375732286765466e-05,0.00010091816893172867,0.2503932236908004,0.05482227565347442,-0.00010349765580966633,8.229262676295914e-05,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,17233.237097999998,,
stop,40,2400,SUM,KIT,-12.5785311630273,0.06345263618333569,-0.00024041442870752217,0.00022060759981558907,1.1542552822420002,0.05115329244208112,-0.0008318130913622008,0.00067127635250369,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,16539.0446792,0.081393305763,1000.0
sbot,40,2400,SUM,KIT,-10.9527386913729,0.07224656915436847,-3.0400036976740985e-05,0.00010128076431310668,0.3316912211394999,0.0609753134850007,7.094187400228997e-05,7.90403665920513e-05,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,17352.0797992,,
stop,40,2600,SUM,KIT,-13.316466345062402,0.06914168318049772,0.00017368566304670766,0.00022683582818965587,1.4800572476506002,0.05709974212622523,0.0013605691491728328,0.0006353038428433183,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,16563.512899899993,0.081393305763,1000.0
sbot,40,2600,SUM,KIT,-11.322331005894494,0.0731958750087365,-8.663745446191308e-05,0.0001017864349788284,0.20236424282159995,0.06890429916710562,1.4052032121612875e-05,7.650593169076296e-05,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,17431.634904900002,,
stop,40,2800,SUM,KIT,-14.9708268876275,0.08234559217498494,-4.0563234101898e-05,0.00022982943510184087,2.0351196698335,0.06457955198990434,-3.5796441704399884e-05,0.0006039841359385472,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,16382.7857571,0.081393305763,1000.0
sbot,40,2800,SUM,KIT,-12.035319300333502,0.07765700993365603,-1.0929745438703622e-06,0.00010234410138257366,0.32855095190920025,0.06918983327274446,1.914411043673147e-05,7.484084662358853e-05,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,17535.931881,,
stop,5,1500,SUM,KIT,-1.4916074328381004,0.04212076092824319,-3.334386562137137e-05,0.00012952565093223478,0.10073521472399992,0.04166633068414567,0.0006990457217088943,0.0008950117490172141,1353.5981241543975,1650.2877849560896,2783.24791529,0.0001,1e-09,2243.8799901,,
sbot,5,1500,SUM,KIT,-1.3991875092404182,0.035066649366024376,7.150253936949458e-05,0.00010158318728242346,0.10885532047243007,0.03248917993464226,-4.1125519469871744e-05,9.551629999246782e-05,1499.8934131386263,1540.9190920610583,2836.16072878,0.0001,1e-09,1812.89016914,,
stop,6,1500,SUM,KIT,-1.710716947179,0.046767986787989865,-3.3343677621533445e-05,0.00012952565108234488,0.050148453851100006,0.0443165888778971,0.0012144350884841619,0.00089517015585754,1353.4981341913326,1650.341009224656,2751.20817212,0.0001,1e-09,2232.21236396,,
sbot,6,1500,SUM,KIT,-1.5279581112887828,0.047922455928768405,7.15025543693848e-05,0.00010158318725014396,0.21374448944436986,0.036479654325342926,-4.112537748156869e-05,9.551629997726308e-05,1466.5317938707447,1501.0381903785676,2780.35910664,0.0001,1e-09,1789.6504581,,
stop,6.5,1500,SUM,KIT,-1.8147473439575,0.04731348582655606,-3.334369972141093e-05,0.00012952565097069973,0.08841095242890007,0.04575839073884914,-3.562364673189088e-05,0.0008947684870117235,1353.4916712110946,1650.3364776398605,2738.39494707,0.0001,1e-09,2226.18357992,,
sbot,6.5,1500,SUM,KIT,-1.7171908786126495,0.050369109973467316,7.150255636945158e-05,0.00010158318727492512,0.12267153165080005,0.040485315347099315,-4.112536481839954e-05,9.55162999822318e-05,1466.4582909669828,1501.3207920478408,2773.85627201,0.0001,1e-09,1787.28717804,,
